City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,saldanha,-33.0117,17.9442,15.56,88,1,4.76,ZA,1745434225
219,tocopilla,-22.092,-70.1979,21.85,74,24,6.38,CL,1745434227
220,awjilah,29.1081,21.2869,20.89,54,100,8.13,LY,1745434228
221,turtas,58.9417,69.1325,-2.16,79,10,1.02,RU,1745434229
222,jurmala,56.968,23.7704,12.01,87,20,0.51,LV,1745434230
223,nieuw amsterdam,5.8833,-55.0833,27.01,89,40,0.0,SR,1745434231
224,xai-xai,-25.0519,33.6442,22.77,90,94,3.92,MZ,1745434232
225,mosjoen,65.836,13.1908,2.29,51,40,3.09,NO,1745434233
226,shuangjiang,26.1547,109.7138,15.17,98,100,1.1,CN,1745434235
227,khandyga,62.6667,135.6,-5.74,98,100,0.81,RU,1745434236
228,atafu village,-8.5421,-172.5159,28.72,74,6,3.05,TK,1745434121
229,imbituba,-28.24,-48.6703,25.0,74,100,5.46,BR,1745434238
230,novocheboksarsk,56.111,47.4776,12.31,66,0,2.0,RU,1745434240
231,praia da vitoria,38.7333,-27.0667,21.14,60,75,3.7,PT,1745434242
232,nar'yan-mar,67.6713,53.087,-2.97,89,100,6.0,RU,1745434243
233,amga,60.8953,131.9608,-2.86,96,100,1.16,RU,1745434244
234,san antonio de pale,-1.4014,5.6325,28.03,81,100,3.27,GQ,1745434245
235,aqaba,29.5267,35.0078,30.92,15,100,2.06,JO,1745434246
236,kurchatov,51.6601,35.6521,15.2,47,41,2.43,RU,1745434247
237,ust'-ilimsk,58.0006,102.6619,0.72,67,100,4.83,RU,1745434248
238,newman,37.3138,-121.0208,20.03,48,6,0.97,US,1745434250
239,east london,-33.0153,27.9116,17.52,94,75,1.03,ZA,1745434252
240,pucallpa,-8.3791,-74.5539,25.02,100,100,2.06,PE,1745434253
241,road town,18.4167,-64.6167,28.02,57,20,2.06,VG,1745434240
242,solnechnyy,50.7214,136.6319,0.24,85,100,2.63,RU,1745434256
243,kone,-21.0595,164.8658,22.72,93,48,1.27,NC,1745434257
244,gantang,26.92,119.6333,16.73,97,99,0.88,CN,1745434258
245,sanctuary point,-35.1114,150.629,16.64,88,64,1.2,AU,1745434259
246,rauma,61.1272,21.5113,4.51,81,75,4.1,FI,1745434260
247,hammerfest,70.6634,23.6821,-0.75,86,75,1.03,NO,1745434261
248,lucapa,-8.4192,20.7447,20.52,91,34,1.36,AO,1745434264
249,susuman,62.7833,148.1667,-6.38,93,100,1.98,RU,1745434265
250,sisimiut,66.9395,-53.6735,0.26,76,10,3.26,GL,1745434266
251,aykol,38.1751,77.2132,15.32,42,98,3.61,CN,1745434267
252,antalaha,-14.9003,50.2788,24.7,91,15,2.86,MG,1745434269
253,mapastepec,15.4333,-92.9,34.86,48,48,4.83,MX,1745434270
254,santiago de cao,-7.9589,-79.2392,15.07,88,75,5.14,PE,1745434271
255,les cayes,18.2,-73.75,29.17,55,67,4.04,HT,1745434272
256,huntsville,34.7304,-86.5861,23.52,77,100,2.57,US,1745433767
257,igboho,8.8333,3.75,23.96,84,100,4.34,NG,1745434275
